Domain adı,Fonksiyon_1,,Domain adı,Fonksiyon_2_cdp,,Domain adı,Fonksiyon_3_cdp,,Domain adı,Detay_Ticaret,,
Kod,Adı,,Kod,Adı,,Kod,Adı,,Kod,Adı,,
01_Konut,KONUT ALANLARI,,1,KONUT ALANLARI,,1,KENTSEL KONUT ALANI,,1,OFİS,"Nacesi Genellikle, J, K, L, M, N, O olanlar, dışındada olabilir sorulacak",
02_Calisma,ÇALIŞMA ALANLARI,,2,HİZMET ALANLARI,,2,KIRSAL KONUT ALANI,,2,FİNANS,Nacesi L Olan,
03_AcikYesil,KENTSEL AÇIK VE YEŞİL ALANLAR,,3,SANAYİ - LOJİSTİK ALANLARI,,3,TİCARET ALANI,,3,LOJİSTİK,"Kargo Şirketi, Gıda Sipariş Deposu (Getir Vb.),Ecza Deposu",
04_SosyalAltyapi,SOSYAL ALTYAPI ALANLARI,,4,TARIM VE MADENCİLİK ALANLARI,,4,TURİZM ALANI (KONAKLAMA),,4,TEMEL PERAKENDE,Nacesi G Olanlar,
05_Dogal,DOĞAL NİTELİKLİ ALANLAR,,5,ASKERİ ALANLAR,,5,GÜNÜBİRLİK TESİS ALANI,,5,TOPTAN TİCARET,Nacesi G Olanlar,
06_UlasimAltyapi,ULAŞIM VE ALTYAPI,,6,RESMİ KURUMLAR,,6,PAZAR ALANI,,6,AVM,Detay Ticarette Öncelik AVM,
07_Su,SU YÜZEYLERİ VE SULAK ALANLAR,,7,KENTSEL AÇIK ALANLAR,,7,AKARYAKIT VE SERVİS İSTASYONU ALANI,,7,AÇIK PAZAR ALANI,Sadece Alt Kullanımı Pazar Alanı olan,
08_Diger,DİĞER ALANLAR,,8,AKTİF YEŞİL ALANLAR,,8,TİCARET-KONUT ALANI,,8,KAPALI PAZAR ALANI,Sadece Alt Kullanımı Pazar Alanı olan,
,,,9,PASİF YEŞİL ALANLAR,,9,TİCARET-TURİZM ALANI,,9,TOPLU İŞYERLERİ,"Hanlar, Toplu İş Merkezleri",bir çok nace kodunda olabilir
,,,10,EĞİTİM TESİSİ ALANLARI,,10,TİCARET-TURİZM-KONUT ALANI,,,,,
,,,11,İBADET ALANLARI,,11,SANAYİ ALANI,,,,,
,,,12,SOSYO-KÜLTÜREL TESİS ALANLARI,,12,DEPOLAMA VE LOJİSTİK TESİS ALANI,,,,,
,,,13,SAĞLIK TESİSİ ALANLARI,,13,ORGANİZE SANAYİ BÖLGESİ,,,,,
,,,14,SPOR ALANLARI,,14,KÜÇÜK SANAYİ SİTESİ,,Domain adı,Detay_Konut,,
,,,15,ORMAN ALANLARI,,15,TEKNOLOJİ GELİŞTİRME BÖLGESİ,,Kod,Adı,,
,,,16,TARIM ALANLARI,,16,ENDÜSTRİ BÖLGESİ,,1,TEKİL APARTMAN,,
,,,17,KIYI ALANLARI,,17,SERBEST BÖLGE,,2,APARTMAN (SİTE),,
,,,18,KARAYOLU ULAŞIMI,,18,TERSANE,,3,REZİDANS,,
,,,19,DENİZYOLU ULAŞIMI,,19,SANAYİ-KONUT ALANI,,4,REZİDANS (SİTE),,
,,,20,RAYLI SİSTEMLER,,20,SANAYİ-TİCARET ALANI,,5,VİLLA/MÜSTAKİL,,
,,,21,HAVAYOLU ULAŞIMI,,21,SANAYİ-TİCARET-KONUT ALANI,,6,VİLLA/MÜSTAKİL (SİTE),,
,,,22,KENTİÇİ AKTARMA MERKEZLERİ,,22,TARIM VE HAYVANCILIK TESİS ALANI,,7,GECEKONDU (DÜZENSİZ GELİŞMİŞ),,
,,,23,KIYI YAPILARI,,23,MADEN SAHASI,,8,İKİNCİ/YAZLIK,,
,,,24,ENERJİ ALTYAPISI,,24,HAFRİYAT ALANI,,,,,
,,,25,SU ALTYAPISI,,25,ASKERİ ALAN,,,,,
,,,26,ATIK YÖNETİMİ,,26,KAMU KURUMU (YEREL İDARE),,,,,
,,,27,SU YÜZEYLERİ,,27,KAMU KURUMU (MERKEZİ İDARE),,,,,
,,,28,DİĞER ALANLAR,,28,MEYDAN,,Domain adı,Detay_Resmi,,
,,,,,,29,YAYA BÖLGESİ,,Kod,Adı,,
,,,,,,30,PARK,,1,İDARİ TESİS ALANI,,
,,,,,,31,KENT PARKI,,2,KAMU HİZMET ALANI,,
,,,,,,32,PANAYIR - FESTİVAL ALANI,,,,,
,,,,,,33,HAYVANAT BAHÇESİ,,,,,
,,,,,,34,TARİHİ KORU,,,,,
,,,,,,35,REFÜJ/ŞEV-YAMAÇ/ÇAYIR,,,,,
,,,,,,36,AĞAÇLIK ALAN,,Domain adı,Detay_SosyalAltyapi,,
,,,,,,37,MEZARLIK ALANI,,Kod,Adı,,
,,,,,,38,ANAOKULU ALANI,,1,KAMU,,
,,,,,,39,İLKOKUL ALANI,,2,ÖZEL,,
,,,,,,40,ORTAOKUL ALANI,,,,,
,,,,,,41,İLK-ORTAOKUL ALANI,,,,,
,,,,,,42,LİSE ALANI,,,,,
,,,,,,43,MESLEKİ VE TEKNİK LİSE ALANI,,,,,
,,,,,,44,ÜNİVERSİTE ALANI,,Domain adı,NaceRev2,,
,,,,,,45,ÖZEL EĞİTİM VE REHABİLİTASYON TESİSİ ALANI,,Kod,Adı,,
,,,,,,46,HAYAT BOYU ÖĞRENME MERKEZİ,,1,"A - TARIM, ORMANCILIK VE BALIKÇILIK",,
,,,,,,47,HALK EĞİTİM MERKEZİ,,2,B - MADENCİLİK VE TAŞ OCAKÇILIĞI,,
,,,,,,48,CAMİ/MESCİT ALANI,,3,C - İMALAT,,
,,,,,,49,CEMEVİ,,4,"D - ELEKTRİK, GAZ, BUHAR VE İKLİMLENDİRME ÜRETİMİ VE DAĞITIMI",,
,,,,,,50,KİLİSE/ŞAPEL ALANI,,5,"E - SU TEMİNİ; KANALİZASYON, ATIK YÖNETİMİ VE İYİLEŞTİRME FAALİYETLERİ",,
,,,,,,51,SİNAGOG ALANI,,6,F - İNŞAAT,,
,,,,,,52,SOSYAL TESİS ALANI,,7,G - TOPTAN VE PERAKENDE TİCARET,,
,,,,,,53,KÜLTÜREL TESİS ALANI,,8,H - ULAŞTIRMA VE DEPOLAMA,,
,,,,,,54,FUAR-KONGRE ALANI,,9,I - KONAKLAMA VE YİYECEK HİZMETİ FAALİYETLERİ,,
,,,,,,55,YAŞLI BAKIMEVİ ALANI,,10,"J - YAYIMCILIK, RADYO VE TELEVİZYON YAYINCILIĞI İLE İÇERİK ÜRETİM VE DAĞITIM FAALİYETLERİ",,
,,,,,,56,ÖĞRENCİ YURDU ALANI,,11,"K - TELEKOMÜNİKASYON, PROGRAMLAMA, DANIŞMANLIK, BİLİŞİM ALTYAPISI VB BİLGİ HİZMETİ FAALİYETLERİ",,
,,,,,,57,"KREŞ, GÜNDÜZ BAKIMEVİ",,12,L - FİNANS VE SİGORTA FAALİYETLERİ,,
