Code	Description
1	A - TARIM, ORMANCILIK VE BALIKÇILIK
2	B - MADENCİLİK VE TAŞ OCAKÇILIĞI
3	C - İMALAT
4	D - ELEKTRİK, GAZ, BUHAR VE İKLİMLENDİRME ÜRETİMİ VE DAĞITIMI
5	E - SU TEMİNİ; KANALİZASYON, ATIK YÖNETİMİ VE İYİLEŞTİRME FAALİYETLERİ
6	F - İNŞAAT
7	G - TOPTAN VE PERAKENDE TİCARET
8	H - ULAŞTIRMA VE DEPOLAMA
9	I - KONAKLAMA VE YİYECEK HİZMETİ FAALİYETLERİ
10	J - YAYIMCILIK, RADYO VE TELEVİZYON YAYINCILIĞI İLE İÇERİK ÜRETİM VE DAĞITIM FAALİYETLERİ
11	K - TELEKOMÜNİKASYON, PROGRAMLAMA, DANIŞMANLIK, BİLİŞİM ALTYAPISI VB BİLGİ HİZMETİ FAALİYETLERİ
12	L - FİNANS VE SİGORTA FAALİYETLERİ
13	M - GAYRİMENKUL FAALİYETLERİ
14	N - MESLEKİ, BİLİMSEL VE TEKNİK FAALİYETLER
15	O - İDARİ VE DESTEK HİZMET FAALİYETLERİ
16	P - KAMU YÖNETİMİ VE SAVUNMA; ZORUNLU SOSYAL GÜVENLİK
17	Q - EĞİTİM
18	R - İNSAN SAĞLIĞI VE SOSYAL HİZMET FAALİYETLERİ
19	S - SANAT, SPOR VE EĞLENCE (REKREASYON) FAALİYETLERİ
20	T - DİĞER HİZMET FAALİYETLERİ
21	U - HANEHALKLARININ İŞVEREN VE KENDİ KULLANIMLARINA YÖNELİK MAL VE HİZMET ÜRETİM FAALİYETLERİ
22	V - ULUSLARARASI ÖRGÜTLER VE TEMSİLCİLİKLERİNİN FAALİYETLERİ
23	Y - KENDİ ADINA MENKUL SERMAYE İRADI FAALİYETLERİ (TEMETTÜ, BANKA FAİZİ, İŞTİRAK KAZANÇLARI VB.)
